frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
188,23959718.857,06:39:19.719,30.000,640,480,1
189,23959750.938,06:39:19.751,30.000,640,480,1
190,23959786.915,06:39:19.787,30.000,640,480,1
191,23959818.941,06:39:19.819,30.000,640,480,1
192,23959850.891,06:39:19.851,30.000,640,480,1
193,23959882.931,06:39:19.883,30.000,640,480,1
194,23959914.933,06:39:19.915,30.000,640,480,1
195,23959950.981,06:39:19.951,30.000,640,480,1
196,23959982.882,06:39:19.983,30.000,640,480,1
197,23960014.892,06:39:20.015,30.000,640,480,1
198,23960046.867,06:39:20.047,30.000,640,480,1
199,23960078.855,06:39:20.079,30.000,640,480,1
200,23960114.921,06:39:20.115,30.000,640,480,1
201,23960146.882,06:39:20.147,30.000,640,480,1
202,23960178.929,06:39:20.179,30.000,640,480,1
203,23960210.853,06:39:20.211,30.000,640,480,1
204,23960242.942,06:39:20.243,30.000,640,480,1
205,23960278.915,06:39:20.279,30.000,640,480,1
206,23960310.916,06:39:20.311,30.000,640,480,1
207,23960342.888,06:39:20.343,30.000,640,480,1
208,23960374.902,06:39:20.375,30.000,640,480,1
209,23960406.853,06:39:20.407,30.000,640,480,1
210,23960442.928,06:39:20.443,30.000,640,480,1
211,23960474.929,06:39:20.475,30.000,640,480,1
212,23960506.878,06:39:20.507,30.000,640,480,1
213,23960538.883,06:39:20.539,30.000,640,480,1
214,23960570.850,06:39:20.571,30.000,640,480,1
215,23960606.920,06:39:20.607,30.000,640,480,1
216,23960638.927,06:39:20.639,30.000,640,480,1
217,23960670.904,06:39:20.671,30.000,640,480,1
218,23960702.873,06:39:20.703,30.000,640,480,1
219,23960734.970,06:39:20.735,30.000,640,480,1
220,23960770.944,06:39:20.771,30.000,640,480,1
221,23960802.981,06:39:20.803,30.000,640,480,1
222,23960834.916,06:39:20.835,30.000,640,480,1
223,23960866.927,06:39:20.867,30.000,640,480,1
224,23960898.926,06:39:20.899,30.000,640,480,1
225,23960934.958,06:39:20.935,30.000,640,480,1
226,23960966.944,06:39:20.967,30.000,640,480,1
227,23960998.912,06:39:20.999,30.000,640,480,1
228,23961030.923,06:39:21.031,30.000,640,480,1
229,23961066.923,06:39:21.067,30.000,640,480,1
230,23961098.964,06:39:21.099,30.000,640,480,1
231,23961130.936,06:39:21.131,30.000,640,480,1
232,23961162.876,06:39:21.163,30.000,640,480,1
233,23961194.922,06:39:21.195,30.000,640,480,1
